PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
M12-22,Monat,11/05/2022,255.72,-,-,-,294,-
Q1-23,Quartal,11/05/2022,263.9,257.00,265.50,127381,13260,43
M1-23,Monat,11/05/2022,284.06,-,-,-,-,-
M5-22,Monat,11/05/2022,185.49,-,-,-,229803,-
cal-25,Jahr,11/05/2022,166.46,161.50,167.00,140160,4983,8
M7-22,Monat,12/04/2022,239.37,237,238.5,14136,514,9
M6-22,Monat,12/04/2022,231.11,230,233.45,62640,211741,49
Q3-23,Quartal,12/04/2022,170.31,167.5,170,203136,4683,53
Q4-24,Quartal,12/04/2022,153.25,-,-,-,35,-
Q4-22,Quartal,12/04/2022,257.82,257,259,262871,179210,66
Q1-24,Quartal,12/04/2022,189.03,-,-,-,383,-
cal-23,Jahr,12/04/2022,197.14,193.75,197.5,735840,67247,79
Q2-23,Quartal,12/04/2022,177.11,170.5,178.5,131040,5079,43
M11-22,Monat,12/04/2022,266.52,-,-,-,14,-
M12-22,Monat,12/04/2022,253.24,-,-,-,294,-
M8-22,Monat,12/04/2022,236.31,-,-,-,152,-
M5-22,Monat,12/04/2022,216.75,214.1,222,177072,216842,161
Q2-24,Quartal,12/04/2022,123.52,119,119,2184,298,1
cal-24,Jahr,12/04/2022,147.0,141,147.05,193248,15992,20
Q4-23,Quartal,12/04/2022,195.49,192.5,195,145794,3833,42
M9-22,Monat,12/04/2022,266.7,-,-,-,381,-
M10-22,Monat,12/04/2022,253.99,-,-,-,295,-
Q1-23,Quartal,12/04/2022,246.53,246,249,90678,11521,31
Q3-22,Quartal,12/04/2022,247.25,245.4,250,346656,188549,84
M4-22,Monat,12/04/2022,179.46,-,-,-,236711,-
Q3-24,Quartal,12/04/2022,122.42,115,115,2208,379,1
cal-25,Jahr,12/04/2022,124.75,122.5,124.25,43800,4394,4
M1-23,Monat,12/04/2022,264.19,-,-,-,-,-
M5-22,Monat,12/05/2022,194.06,-,-,-,229803,-
M7-22,Monat,12/05/2022,229.0,223.00,240.00,38688,1479,32
M12-22,Monat,12/05/2022,276.36,-,-,-,294,-
M1-23,Monat,12/05/2022,300.7,-,-,-,-,-
Q4-22,Quartal,12/05/2022,272.25,264.00,284.00,660491,184592,191
M10-22,Monat,12/05/2022,259.11,-,-,-,537,-
Q3-23,Quartal,12/05/2022,194.24,194.30,198.00,8832,5190,4
Q1-24,Quartal,12/05/2022,236.48,-,-,-,520,-
Q4-23,Quartal,12/05/2022,246.39,247.00,255.00,136958,5190,29
M2-23,Monat,12/05/2022,295.07,-,-,-,-,-
Q2-23,Quartal,12/05/2022,191.4,194.00,195.00,17472,5787,6
M9-22,Monat,12/05/2022,258.35,-,-,-,906,-
Q4-24,Quartal,12/05/2022,203.26,-,-,-,81,-
Q1-23,Quartal,12/05/2022,279.94,276.00,290.00,138176,13433,42
Q3-22,Quartal,12/05/2022,239.32,230.50,255.00,1077504,196722,315
M11-22,Monat,12/05/2022,281.61,-,-,-,69,-
